index,Industry,pt1970,pt1980,pt1990
0,Personal Services,4.3,0,0
1,Nondurable Manufacturing,5.8,5,0
2,Wholesale,0,0,0
3,Business Services,0,4.8,0
4,Transportation,0,0,5.3
5,Constrution,5.3,5.3,5.9
6,Financial Services,4.5,5.4,7.1
7,Other Professional Services,0,0,7.4
8,Education,7.4,8.1,8.5
9,Durable Manufacturing,25.9,20.6,10.2
10,Health Services,6.2,8.7,11.6
11,Ratail,16.4,17.1,20
