index,Industry,per2020,per2021,per2015,per2010,,Civilian employed by Industry
0,Retail trade,9.4,9.5,10.1,9.8,,
1,"Finance and insurance, and real estate and rental and leasing",8.7,8.5,7.5,7.8,,
2,"Professional, scientific, and management, and administrative and waste management services",14.3,14.4,11.8,11,,
3,"Educational services, and health care and social assistance",32.7,33,33,33.5,,
4,"Arts, entertainment, and recreation, and accommodation and food services",10.4,9.9,11.5,11.1,,
